"genes","group","lib.size","norm.factors"
"fast-kidney","fast",1621835,1.04420538590307
"slow-kidney","slow",4448069,1.09050623398394
"slow-kidney.1","slow",4085577,0.931413971086486
"fast-kidney.1","fast",2112054,0.96516719120591
"slow-kidney.2","slow",3365738,1.05985453228114
"fast-kidney.2","fast",3187641,0.790099715405978
"fast-kidney.3","fast",2438889,0.978859644315853
"fast-kidney.4","fast",3541146,1.00870743624554
"fast-kidney.5","fast",4048109,0.973374973276653
"slow-kidney.3","slow",3380594,0.985618241673034
"slow-kidney.4","slow",4504521,0.985802897780853
"fast-kidney.6","fast",2157188,1.01848011732892
"fast-kidney.7","fast",1531928,1.01757138789834
"fast-kidney.8","fast",3959195,1.00390735222994
"fast-kidney.9","fast",4421113,1.12220760168505
"slow-kidney.5","slow",1343844,1.02990580644336
"slow-kidney.6","slow",6223904,0.890444419015034
"slow-kidney.7","slow",3983214,1.05394409959355
"slow-kidney.8","slow",3283004,1.02886879585287
"fast-kidney.10","fast",2436446,1.0126504099887
"slow-kidney.9","slow",3857199,1.062447817832
"fast-kidney.11","fast",1533749,1.00093090508692
"slow-kidney.10","slow",3312273,1.02320008108196
"slow-kidney.11","slow",2884922,0.976449556064523
