Pathways,∑FG_flux,∑SG_flux,Difference
Mitochondrial transport,86.65534785065286,81.94213168480873,4.7132161658441305
Energy metabolism,119.67328348766229,117.82493061919034,1.8483528684719488
"AA central (Ala/Asp/Glu, Gly/Ser/Thr)",71.66181557771672,70.00372922211015,1.6580863556065708
2-oxocarboxylic Acid Metabolism,24.571723098481097,23.40766262886846,1.164060469612636
"Phenylalanine, Tyrosine And Tryptophan Biosynthesis",20.90545309314668,19.848563500189687,1.056889592956992
Phenylalanine Metabolism,20.90545309314668,19.848563500189687,1.056889592956992
Nitrogen disposal,25.361195831897977,24.702000360301902,0.6591954715960746
Unknown,34.2160870886818,33.79419290663984,0.42189418204196016
Nucleotide metabolism,21.491891525003904,21.140874325200514,0.3510171998033904
Extracellular Transport,22.572222730571227,22.225993132873235,0.34622959769799166
Folate metabolism,2.7686909745624675,2.4923632295350764,0.2763277450273911
AA other,1.3523767325507052,1.1662816094028379,0.18609512314786736
Arginine And Proline Metabolism,0.1233987113283665,0.0,0.1233987113283665
Lipid metabolism,0.3772914171659144,0.2706102903767261,0.10668112678918829
Taurine And Hypotaurine Metabolism,0.6532577477794514,0.5678223558267917,0.0854353919526597
Purine Catabolism,1.126294919496516,1.0492124050819178,0.07708251441459812
Lysine Metabolism,0.04239014153269201,0.0,0.04239014153269201
Propanoate Metabolism,1.5101712596030936,1.4753836992167217,0.034787560386371874
"Transport, Endoplasmic Reticulum",0.0687000897329004,0.053057663995919,0.0156424257369814
Lysine Biosynthesis,0.0084780283065384,0.0,0.0084780283065384
Biomass And Maintenance Functions,18.53152204846727,18.52312874463527,0.008393303832001209
Nucleotide Salvage Pathway,0.0229747504593368,0.0168573161411819,0.0061174343181549
Vitamin C Metabolism,0.0689552041865036,0.064982563276279,0.00397264091022459
Cyanoamino Acid Metabolism,0.0039202093977945,0.0027248359416918,0.0011953734561026995
"Transport, Nuclear",0.0044130867854172,0.0032380242489376,0.0011750625364796
Histidine Metabolism,0.019724726875708,0.018560663284596,0.0011640635911119995
Sphingolipid Metabolism,0.0033728591859975,0.0024747756759735,0.0008980835100240001
Starch And Sucrose Metabolism,5.0016193506738595,5.001188169867811,0.00043118080604820364
Terpenoid Backbone Biosynthesis,0.0169560566130768,0.0186618092332533,-0.0017057526201764983
Pantothenate And Coa Biosynthesis,0.0179764987857142,0.0265033232950726,-0.008526824509358401
Methane Metabolism,19.943744398217717,19.958571900525193,-0.014827502307475982
Glyoxylate And Dicarboxylate Metabolism,0.7740172977091173,0.7980279275020926,-0.024010629792975302
BCAA metabolism (Val/Leu/Iso),0.5655853614879311,0.7007899436976707,-0.13520458220973952
