parameter,p_value,p_adj,cliff_delta
"9-week weight, g",1.479204602101358e-6,5.325136567564889e-5,0.9861111111111112
"Carcass weight, g",4.67706587118562e-5,3.614377316513923e-4,0.9861111111111112
"Drumstick weight, g",3.6158278275321346e-5,3.614377316513923e-4,1
"Mean daily gain, g",5.019968495158226e-5,3.614377316513923e-4,0.9791666666666666
"Thigh weight, g",4.6416098592905084e-5,3.614377316513923e-4,0.9861111111111112
"Breast weight, g",7.630788270911382e-5,4.5784729625468294e-4,0.9583333333333334
"Intestines, g",4.736190054295806e-4,0.0024357548850664147,0.8472222222222222
"Kidneys, g",8.840420880943512e-4,0.003978189396424581,0.7986111111111112
"Liver, g",0.0033862704565608207,0.013545081826243283,0.7083333333333334
"Heart, g",0.0093878161822242,0.03379613825600712,0.625
"Globulin, g/L",0.04023014602412553,0.1316622960789563,-0.5
"Total Protein, g/L",0.056585409315407356,0.16975622794622208,-0.4652777777777778
A/G ratio,0.06824036237901542,0.1889733112034273,0.4444444444444445
"Lungs, g",0.07527319309700711,0.19355963939230403,0.4305555555555556
"AST, IU/L",0.11219501335554359,0.26926803205330463,0.3888888888888889
"Breast meat, ash %",0.12420801115515874,0.2794680250991072,0.375
"Slaughter yield, %",0.13282034690771763,0.2812666169810491,0.3680555555555556
"P, mM/L",0.16548838386064757,0.33097676772129514,-0.3402777777777778
"Creatinine, µM/L",0.2238293081990854,0.42409763658774075,-0.2986111111111111
"Ca, mM/L",0.2481102298593686,0.4253318226160604,-0.2847222222222222
"Fe, µM/L",0.24152378782880873,0.4253318226160604,-0.29166666666666663
"Stomach, g",0.2978557912608465,0.487400385699567,0.2569444444444445
De Ritis ratio (AST/ALT),0.3776853110545398,0.5911596173027579,0.22222222222222224
"Albumin, g/L",0.6223916232129594,0.8632438120682739,-0.125
"Cholesterol, mM/L",0.6234538642715312,0.8632438120682739,-0.125
"Triglycerides, mM/L",0.6233026627251221,0.8632438120682739,-0.125
"Breast meat, fat %",0.8624013569910249,0.9613830871718356,0.04861111111111111
"Breast meat, moisture %",0.7949685891634857,0.9613830871718356,0.06944444444444443
"Breast meat, protein %",0.9079729156622892,0.9613830871718356,-0.03472222222222222
Ca/P ratio,0.861894467048816,0.9613830871718356,0.048611111111111105
"Chlorides, mM/L",0.8873859348351204,0.9613830871718356,0.041666666666666664
"Glucose, mM/L",0.7507794968518242,0.9613830871718356,-0.08333333333333333
"Mg, mM/L",0.7724930475885967,0.9613830871718356,-0.07638888888888888
"Total Bilirubin, µM/L",0.8624310005154958,0.9613830871718356,0.048611111111111105
"ALT, IU/L",0.976889753976165,1,0.013888888888888883
"Live weight at 1 day, g",1,1,0.006944444444444438
